Unidade Acadêmica / Curso / Habilitação;2014;2015;2016;2017
Centro de Excelência em Turismo - CET;6;25;25;35
Turismo (B - Integral);6;25;25;35
Faculdade de Comunicação - FAC;140;174;156;189
Comunicação Organizacional (B - Noturno);38;35;52;65
Comunicação Social (ABI - Integral);-;-;-;-
Comunicação Social-Audiovisual (B - Integral);21;38;33;29
Comunicação Social-Jornalismo (B - Integral);43;53;40;58
Comunicação Social-Public. Propaganda (B - Integral);38;48;31;37
Faculdade de Economia, Administração e Contabilidade - FACE;426;519;628;447
Administração (B - Integral);96;156;340;168
Administração (B - Noturno);62;-;-;-
Administração Pública (B - A Distância);-;78;16;-
Ciências Contábeis (B - Integral);76;62;53;60
Ciências Contábeis (B - Noturno);86;92;96;100
Ciências Econômicas (B - Integral);71;77;62;86
Gestão de Políticas Públicas (B - Noturno);35;54;61;33
Faculdade de Arquitetura e Urbanismo - FAU;54;98;97;114
Arquitetura e Urbanismo (B - Integral);54;82;72;68
Arquitetura e Urbanismo (B - Noturno);-;16;25;46
Faculdade de Agronomia e Medicina Veterinária - FAV;98;110;172;154
Agronomia (B - Integral);58;62;95;76
Gestão do Agronegócio (B - Noturno);5;11;17;16
Medicina Veterinária (B - Integral);35;37;60;62
Faculdade UnB Ceilândia - FCE;248;259;277;323
Enfermagem FCE (B - Integral);55;53;52;65
Farmácia (B - Integral);46;54;57;72
Fisioterapia (B - Integral);29;48;48;58
Fonoaudiologia (B - Integral);-;-;-;36
Saúde Coletiva (B - Integral);51;62;59;46
Terapia Ocupacional (B - Integral);67;42;61;46
Faculdade de Ciência da Informação - FCI;132;149;143;149
Arquivologia (B - Noturno);71;68;61;82
Biblioteconomia (B - Integral);44;58;61;47
Museologia (B - Integral);17;23;21;20
Faculdade de Direito - FD;127;222;199;224
Direito (B - Integral);60;103;95;118
Direito (B - Noturno);67;119;104;106
Faculdade de Educação - FE;232;195;194;141
Pedagogia (L - A Distância);66;53;11;13
Pedagogia (L - Integral);112;90;134;79
Pedagogia (L - Noturno);54;52;49;49
Faculdade de Educação Física - FEF;115;124;112;129
Educação Física (B - Integral);-;3;38;51
Educação Física (L - A Distância);64;39;-;16
Educação Física (L - Integral);51;82;74;62
Faculdade UnB Gama - FGA;123;135;149;177
Engenharia (ABI - Integral);-;-;-;-
Engenharia Aeroespacial (B - Integral);-;-;5;11
Engenharia Automotiva (B - Integral);8;13;28;26
Engenharia de Energia (B - Integral);48;39;54;62
Engenharia de Software (B - Integral);34;39;32;43
Engenharia Eletrônica (B - Integral);33;44;30;35
Faculdade de Medicina - FM;65;65;69;83
Medicina (B - Integral);65;65;69;83
Faculdade de Ciências da Saúde - FS;183;217;252;220
Ciências Farmacêuticas (B - Integral);53;57;45;44
Ciências Farmacêuticas (B - Noturno);-;8;19;19
Farmácia (B - Noturno);-;-;-;-
Enfermagem (B - Integral);24;40;52;42
Enfermagem (L - Integral);5;7;-;-
Gestão de Saúde Coletiva (B - Noturno);17;29;37;23
Nutrição (B - Integral);46;39;48;41
Odontologia (B - Integral);38;37;51;51
Faculdade de Tecnologia - FT;267;360;382;456
Engenharia Ambiental (B - Integral);2;15;36;35
Engenharia Civil (B - Integral);68;78;85;90
Engenharia de Produção (B - Noturno);16;29;45;74
Engenharia de Redes de Comunicação (B - Integral);32;30;27;31
Engenharia Elétrica (B - Integral);41;56;53;67
Engenharia Florestal (B - Integral);34;53;43;47
Engenharia Mecânica (B - Integral);48;68;56;62
Engenharia Mecatrônica (B - Integral);26;31;37;50
Faculdade UnB Planaltina - FUP;166;146;156;133
Ciências Naturais (L - Integral);21;27;32;19
Ciências Naturais (L - Noturno);23;14;20;28
Educação do Campo (L - Integral);37;44;21;24
Gestão Ambiental (B - Noturno);40;34;35;30
Gestão do Agronegócio (B - Integral);45;27;48;32
Instituto de Ciências Biológicas - IB;133;204;219;256
Biotecnologia (B - Integral);5;30;46;70
Ciências Biológicas (ABI - Integral);-;-;-;-
Ciências Biológicas (B - Integral);72;90;95;106
Ciências Biológicas (L - A Distância);5;14;2;4
Ciências Biológicas (L - Integral);15;5;7;6
Ciências Biológicas (L - Noturno);36;65;69;70
Instituto de Ciências Sociais - ICS;93;139;124;131
Ciências Sociais (ABI - Integral);-;-;-;-
Ciências Sociais (L - Integral);34;52;54;51
Ciências Sociais-Antropologia (B - Integral);20;33;20;26
Ciências Sociais-C. Sociais (B - Integral);23;30;35;31
Ciências Sociais-Sociologia (B - Integral);16;24;15;23
Instituto de Artes - IdA;290;177;220;278
Artes Cênicas (ABI - Integral);-;-;-;-
Artes Cênicas (B - Integral);18;12;10;25
Artes Cênicas (L - Integral);10;10;14;8
Artes Cênicas (L – Noturno);7;3;5;13
Artes Plásticas (ABI - Integral);;-;-;-
Artes Plásticas (B - Integral);38;27;30;23
Artes Plásticas (L - Integral);20;9;5;14
Artes Plásticas (L - Noturno);12;14;13;12
Artes Visuais (L - A Distância);30;5;19;22
Desenho Industrial-Prog. Visual (B - Integral);20;21;43;45
Desenho Industrial-Proj. Produto (B - Integral);9;16;10;14
Design (ABI - Integral);-;-;-;-
Educação Artística-Cênicas (L - Integral);1;-;-;-
Educação Artística-Música (L - Integral);13;8;1;1
Música (ABI - Integral);-;-;-;-
Música (B - Integral);14;10;7;8
Música (L - A Distância);43;9;4;26
Música (L - Integral);-;-;2;5
Música (L - Noturno);23;13;31;22
Música-Canto (B - Integral);1;-;7;8
Música-Composição (B - Integral);3;2;-;4
Música-Regência (B - Integral);2;1;1;1
Teatro (L - A Distância);26;17;6;12
Teoria Crítica e História da Arte (B - Noturno);-;-;12;15
Instituto de Ciências Exatas - IE;123;150;146;148
Ciência da Computação (B - Integral);26;26;40;32
Computação (L - Noturno);19;24;24;27
Engenharia de Computação (B - Integral);9;24;26;18
Estatística (B - Integral);36;32;29;38
Matemática (ABI - Integral);-;-;-;-
Matemática (B - Integral);6;7;10;9
Matemática (L - Integral);16;15;8;15
Matemática (L - Noturno);11;22;9;9
Instituto de Física - IF;29;36;43;32
Física (ABI - Integral);-;-;-;-
Física (B - Integral);10;17;12;12
Física (L - Integral);9;13;18;11
Física (L - Noturno);9;5;12;8
Física Computacional (B - Integral);1;1;1;1
Instituto de Geociências - IG;45;90;94;99
Ciências Ambientais (B - Noturno);12;34;33;29
Geofísica (B - Integral);12;18;21;24
Geologia (B - Integral);21;38;40;46
Instituto de Ciências Humanas - IH;283;297;305;343
Filosofia (ABI - Integral);-;-;-;-
Filosofia (B - Integral);11;10;22;19
Filosofia (L - Integral);16;13;15;12
Filosofia (L - Noturno);1;6;10;17
Geografia (ABI - Integral);-;-;-;-
Geografia (B - Integral);41;35;37;25
Geografia (L - A Distância);47;26;3;30
Geografia (L - Integral);15;24;30;24
História (ABI - Integral);-;-;-;-
História (B - Integral);43;44;47;38
História (L - Integral);26;32;22;30
História (L - Noturno);8;23;29;37
Serviço Social (B - Integral);53;53;38;66
Serviço Social (B - Noturno);22;31;52;45
Instituto de Letras - IL;326;334;327;350
Letras (L - A Distância);8;43;11;3
Letras Francês (ABI - Integral);-;-;-;-
Letras Inglês (ABI - Integral);-;-;-;-
Letras Português (ABI - Integral);-;-;-;-
Letras-Espanhol (L - Noturno);46;21;26;28
Letras-Francês (B - Integral);4;2;6;6
Letras-Francês (L - Integral);9;13;8;12
Letras-Inglês (B - Integral);7;8;14;14
Letras-Inglês (L - Integral);21;17;27;34
Letras-Japonês (L - Noturno);8;16;14;16
Letras - Língua de Sinais Brasileira/Português Como Segunda Língua (L - Integral);-;-;-;-
Letras-Língua Estrang. Aplic. (B - Integral);9;8;14;22
Letras-Português (B - Integral);34;39;36;30
Letras-Português (L - Integral);40;36;35;40
Letras-Português (L - Noturno);58;57;52;53
Letras-Português do Brasil como Segunda Língua (L - Integral);29;21;33;36
Letras-Tradução Espanhol (B - Noturno);18;21;27;24
Letras-Tradução Francês (B - Integral);6;10;8;9
Letras-Tradução Inglês (B - Integral);29;22;16;23
Instituto de Psicologia - IP;96;121;159;181
Psicologia (B - Integral);9;23;63;78
Psicologia (L - Integral);3;6;5;6
Psicologia-Psicólogo (B - Integral);84;92;91;97
Psicologia (ABI - Integral);-;-;-;-
Instituto de Ciência Política - IPOL;69;64;84;77
Ciência Política (B - Integral);69;64;84;77
Instituto de Química - IQ;71;62;84;97
Engenharia Química (B - Integral);-;-;5;28
Química (B - Integral);45;31;36;20
Química (L - Noturno);24;19;32;23
Química Tecnológica (B - Integral);2;12;11;26
Instituto de Relações Internacionais - IREL;82;82;90;82
Relações Internacionais (B - Integral);82;82;90;82
Total Geral;4022;4554;4906;5048
